x1coord, x2coord, x3coord, x4coord, n1, n2, n3, attrib1, attrib2
0.5, 0.1267541830204869, 0.1201503150071629, 0.1367851027765211, 0, 0, 0, 2, 276
-0.5, 0.09482177171173874, 0.2594278146547898, 0.01021102025860845, 0, 0, 0, 2, 146
-0.1449694822997651, 0.302172, 0.0432281166287156, 0.1009346320086358, 0, 0, 0, 2, 80
-0.3459444754875606, 0.302172, -0.2312867773452708, 0.05523419480384212, 0, 0, 0, 2, 55
-0.1576917748731335, 0.302172, -0.08683709363332008, 0.1041867279636863, 0, 0, 0, 2, 194
-0.2333026030627599, -0.302172, -0.1858194660433943, 0.0789753594099333, 0, 0, 0, 2, 182
-0.5, -0.01618986586708274, 0.275746528879321, 0.02483914247128309, 0, 0, 0, 2, 44
-0.1481153112501405, -0.302172, 0.05747946974455723, 0.1078801968262359, 0, 0, 0, 2, 166
-0.458680846025602, -0.2900808864853677, 0.2328648412283291, 0.03019903472694879, 0, 0, 0, 2, 72
-0.5, 0.2142153228234183, -0.233022, 0.01426033106241859, 0, 0, 0, 2, 215
0.5, -0.1428998999826775, -0.1006078024550358, 0.1372255398586394, 0, 0, 0, 2, 298
-0.1922609092655578, 0.302172, 0.1459843909086082, 0.07912818410001089, 0, 0, 0, 2, 209
0.5, -0.08524416258209842, 0.1525082759560149, 0.1374784213990091, 0, 0, 0, 2, 281
-0.2975833390178868, -0.302172, 0.2200731047976087, 0.06278045490728217, 0, 0, 0, 2, 175
-0.0797458483090506, -0.0004706851992187797, -0.0001635071521950623, 9.744408506486304e-05, 0, 0, 0, 2, 230
0.5, 0.1737287895029173, -0.0178073645784334, 0.1369750294385751, 0, 0, 0, 2, 291
-0.5, 0.1038696802443856, -0.2559817999172704, 0.008248574225119872, 0, 0, 0, 2, 137
-0.5, 0.2384232972602881, 0.23279, 0.01695036244310933, 0, 0, 0, 2, 45
-0.3258386433002098, -0.302172, -0.227963061005721, 0.05863918342802796, 0, 0, 0, 2, 91
-0.5, -0.247763227242746, 0.23279, 0.01837015080640224, 0, 0, 0, 2, 46
-0.5, 0.06393997212696607, 0.2687347199211487, 0.01666176914918246, 0, 0, 0, 2, 147
-0.4690584318898108, 0.286746049417282, -0.233022, 0.03030894024605128, 0, 0, 0, 2, 224
-0.5, -0.09188946381120068, 0.2604856263659143, 0.009967719570172255, 0, 0, 0, 2, 140
0.5, 0.08685047661755101, -0.151526299444637, 0.136965199968331, 0, 0, 0, 2, 255
-0.5, 0.1899490455342366, 0.23279, 0.008946649735474014, 0, 0, 0, 2, 153
-0.5, 0.1870661820787493, -0.233022, 0.0088305029134848, 0, 0, 0, 2, 227
-0.5, -0.2162961623797457, -0.233022, 0.01439485627400819, 0, 0, 0, 2, 2
-0.5, -0.1307331635264667, 0.2433148782076836, 0.002908563082998829, 0, 0, 0, 2, 145
-0.2104283585492515, -0.302172, 0.1660455673463174, 0.08284461142291354, 0, 0, 0, 2, 107
0.5, -0.1654012984867432, 0.05626376572002696, 0.1366175989565715, 0, 0, 0, 2, 267
0.5, -0.03570439955533513, -0.1709679098011161, 0.1369155814258274, 0, 0, 0, 2, 250
-0.5, -0.1205280250280432, 0.2485339471975834, 0.005201016204816941, 0, 0, 0, 2, 47
-0.5, 0.03187144884433762, -0.2744376067076034, 0.02314492979283364, 0, 0, 0, 2, 31
-0.5, -0.08236646954351144, -0.2636825099797113, 0.01340017515003883, 0, 0, 0, 2, 133
-0.444202713569815, -0.2938354018418673, -0.233022, 0.03488616689253415, 0, 0, 0, 2, 79
-0.5, 0.03534688281564591, 0.2739954977219679, 0.02247637331261344, 0, 0, 0, 2, 148
-0.5, -0.2476526639376093, -0.233022, 0.01862715152810339, 0, 0, 0, 2, 13
-0.5, -0.1737266173789693, 0.23279, 0.006073029509147003, 0, 0, 0, 2, 27
-0.3018895715891568, 0.302172, 0.2215288110875698, 0.06027365893148268, 0, 0, 0, 2, 113
-0.5, 0.1170566246311722, -0.2502199859086291, 0.005372314523722282, 0, 0, 0, 2, 139
-0.5, -0.1983943715776604, 0.23279, 0.01100658034888521, 0, 0, 0, 2, 17
-0.5, 0.1260473712642917, 0.2458422528152108, 0.003398925098683812, 0, 0, 0, 2, 144
-0.5, 0.09196196397852625, -0.2604897198530654, 0.01079506238582866, 0, 0, 0, 2, 32
-0.4338497550377836, 0.296179039394878, 0.2329096288323612, 0.03363870903951185, 0, 0, 0, 2, 160
-0.5, -0.01377531563982681, -0.2758985320130755, 0.02442187226381454, 0, 0, 0, 2, 131
-0.5, -0.1606379928290975, -0.233022, 0.003802008175342797, 0, 0, 0, 2, 4
-0.1600523016297281, -0.302172, -0.09248045343646663, 0.1027053218494031, 0, 0, 0, 2, 178
-0.2721681145328192, 0.302172, -0.2096202657920938, 0.07061260715181647, 0, 0, 0, 2, 58
-0.5, 0.2530170660532414, -0.233022, 0.02115465172997489, 0, 0, 0, 2, 216
-0.5, -0.1659178048750692, -0.233022, 0.00485797058453713, 0, 0, 0, 2, 28
-0.5, -0.05421322083095681, -0.2708700579532355, 0.01718178541216333, 0, 0, 0, 2, 135
-0.5, -0.1193873261159464, -0.2491110566969051, 0.005437729671242895, 0, 0, 0, 2, 132
-0.5, -0.06892450176718579, 0.2674762663286862, 0.01416330233352743, 0, 0, 0, 2, 141
-0.3908482977505452, -0.3017005114685186, -0.233022, 0.04567236851656248, 0, 0, 0, 2, 1
-0.5, -0.1076218663722657, 0.2543853009610022, 0.007839647772191004, 0, 0, 0, 2, 149
-0.5, -0.1917842043034321, -0.233022, 0.00949246465874546, 0, 0, 0, 2, 14
-0.5, 0.2100225201487196, 0.23279, 0.0121355531067256, 0, 0, 0, 2, 51
-0.5, -0.126540611206272, 0.2455762141103279, 0.003861267339778615, 0, 0, 0, 2, 145
-0.4917657808844107, -0.2781897592076725, -0.233022, 0.02487211375544785, 0, 0, 0, 2, 8
-0.5, -0.1030222298830882, -0.25633481444317, 0.00901543312842004, 0, 0, 0, 2, 138
-0.4029689072289959, -0.3007612814549913, 0.2329650464841131, 0.04154434389378462, 0, 0, 0, 2, 20
-0.5, 0.1580279063473164, -0.233022, 0.003022847767198217, 0, 0, 0, 2, 219
-0.5, 0.07817398476210108, -0.2649612515991352, 0.01369246738654486, 0, 0, 0, 2, 126
-0.5, -0.2166561314522122, 0.23279, 0.01465893232379557, 0, 0, 0, 2, 16
-0.4993112317270985, 0.275081393728318, 0.2327912152691758, 0.02136654851802529, 0, 0, 0, 2, 158
-0.5, -0.1588515739643901, 0.23279, 0.003260923613356592, 0, 0, 0, 2, 37
-0.5, -0.1256810139862407, -0.2460638174961987, 0.004039750217707645, 0, 0, 0, 2, 35
-0.5, -0.1783485224971783, -0.233022, 0.006805328297494696, 0, 0, 0, 2, 7
-0.5, 0.1623521463393902, -0.233022, 0.003887695765612975, 0, 0, 0, 2, 29
-0.5, 0.1149517297907989, 0.2511941483631376, 0.005862087407005964, 0, 0, 0, 2, 48
-0.5, -0.1627411041784977, 0.23279, 0.004038829656178106, 0, 0, 0, 2, 27
-0.5, 0.1260425844509715, -0.2458693457662718, 0.003376094856900518, 0, 0, 0, 2, 34
-0.5, 0.1220997521537166, 0.2477841464510727, 0.00427850697518105, 0, 0, 0, 2, 48
-0.5, -0.1553940480476165, -0.233022, 0.002753219219046588, 0, 0, 0, 2, 4
-0.07967089120112429, -7.804031466687218e-05, -1.415614033706447e-06, 0.0001024948616651561, 0, 0, 0, 2, 228
-0.5, 0.1591953589865562, 0.23279, 0.002795912425937928, 0, 0, 0, 2, 38
-0.5, -0.1551030441023929, 0.23279, 0.002511217640957142, 0, 0, 0, 2, 37
-0.3719282176163598, 0.302172, 0.2329506454616212, 0.04608088578767164, 0, 0, 0, 2, 188
-0.5, 0.1695549329515492, 0.23279, 0.004867827218936525, 0, 0, 0, 2, 161
-0.07968398998232816, 0.001170315829375023, -0.0003261112749409062, 8.507190456576401e-05, 0, 0, 0, 2, 229
-0.5, 0.06212094456665359, -0.2692228604079458, 0.01701359656517046, 0, 0, 0, 2, 127
-0.5, 0.1696978069300213, -0.233022, 0.005356827883739201, 0, 0, 0, 2, 29
-0.07968064035611851, -0.0009317501033496245, 0.0001581279899932709, 0.0001120856443713563, 0, 0, 0, 2, 228
-0.5, -0.1302060520085637, -0.2436300125867157, 0.003012143766951489, 0, 0, 0, 2, 35
-0.5, -0.1157961931635802, 0.2507912926403028, 0.006053741679469903, 0, 0, 0, 2, 47
-0.5, 0.131654045603674, -0.2428512050047034, 0.002354484073641303, 0, 0, 0, 2, 34
-0.5, 0.1633244445001855, 0.23279, 0.003621729528663796, 0, 0, 0, 2, 161
-0.07967402921473805, 0.000337059309817824, -0.0001053142600268226, 9.854564057540786e-05, 0, 0, 0, 2, 229
-0.5, 0.1543232170485517, 0.23279, 0.002199286819420676, 0, 0, 0, 2, 38
-0.07974575295260029, -0.0007807128582948008, -9.342016121593878e-05, 9.239747495387539e-05, 0, 0, 0, 2, 230
-0.5, 0.176781278850187, 0.23279, 0.006313096398664095, 0, 0, 0, 2, 157
-0.5, -0.1832663353059011, 0.23279, 0.007980973094533359, 0, 0, 0, 2, 22
-0.07967464398670507, -0.0004066626195781323, 5.999821486251824e-05, 9.712557094155387e-05, 0, 0, 0, 2, 228
-0.07974579583487015, -0.0006412918784163381, -0.0001249386295621656, 0.0001209853222432757, 0, 0, 0, 2, 230
-0.07974602538960968, 0.000105047968473812, -0.000293661363115187, 0.0001011236656248971, 0, 0, 0, 2, 230
-0.07967710218820045, -0.0006219213451204307, 0.0001002263501451916, 9.379919891788405e-05, 0, 0, 0, 2, 228
-0.07974560501804052, -0.001261685095753512, 1.53117402164804e-05, 0.0001212060547844139, 0, 0, 0, 2, 230
-0.07967700139323976, 0.0005856934729410702, -0.0001711975501479096, 9.475970006186493e-05, 0, 0, 0, 2, 229
-0.07968119590433899, 0.0009365804591267958, -0.0002641758795142114, 8.874987258233839e-05, 0, 0, 0, 2, 229
-0.5, 0.1315881625626329, 0.2428537175901056, 0.002519987743163679, 0, 0, 0, 2, 144
-0.5, -0.1128455107246023, -0.2522236003806664, 0.006886636525360839, 0, 0, 0, 2, 132
-0.07974569678429447, -0.000963330062597573, -5.213645643699607e-05, 8.951865431799564e-05, 0, 0, 0, 2, 230
-0.07968549360395785, 0.001296099561859288, -0.000359441554399189, 8.305450817204644e-05, 0, 0, 0, 2, 229
-0.07974596851384573, -7.986935906677159e-05, -0.000251857676612356, 0.0001035169068587989, 0, 0, 0, 2, 230
-0.07967513698799918, 0.0004297288037775715, -0.0001298699006484936, 9.683060006787663e-05, 0, 0, 0, 2, 229
-0.5, 0.1297152001697749, -0.2438940186810689, 0.002542067919408964, 0, 0, 0, 2, 34
-0.07974631866459773, 0.001058558273397752, -0.0005092184793378999, 8.602830909444753e-05, 0, 0, 0, 2, 230
-0.5, 0.1541083324886747, -0.233022, 0.002238932995469878, 0, 0, 0, 2, 219
-0.5, 0.1296154369705413, 0.2439177461022781, 0.002588127492070729, 0, 0, 0, 2, 144
-0.07974625370318261, 0.0008473524724687778, -0.0004614718392201619, 8.936369374194836e-05, 0, 0, 0, 2, 230
-0.07974612310213078, 0.0004227358026778494, -0.0003654800661186371, 9.603986847938034e-05, 0, 0, 0, 2, 230
-0.07974572454443035, -0.0008730749208032626, -7.254015631206511e-05, 9.047398321123369e-05, 0, 0, 0, 2, 230
-0.07967206065073917, 0.000172381359910918, -6.167775805149077e-05, 0.0001013031012551699, 0, 0, 0, 2, 229
-0.07974591523821248, -0.0002530817616685593, -0.0002127000861741203, 0.0001005245505626333, 0, 0, 0, 2, 230
-0.07974606029905824, 0.0002185473131152958, -0.0003193198078092248, 0.000100540930412016, 0, 0, 0, 2, 230
-0.07967830509060486, 0.0006947527717529031, -0.0002000961750744474, 9.259706751389264e-05, 0, 0, 0, 2, 229
