x,y,z
-1.4132173024450658,5.2610310453309435,0.52895532213604779
-1.3630691501083712,5.1597042539307809,0.33012623249535916
-1.5015164972143153,5.1267169803091788,0.20380002223494753
-1.7018599188109385,5.2105940740602845,0.21744589729298633
-1.5817161008112199,5.2911449430232054,0.5702110913023839
-1.7529519241010647,5.3526301575177149,0.35425858322018966
2.9789117001231378,6.520361127552305,-0.70362673944447174
3.0971609224862506,6.4987701284854342,-0.94119846720180977
3.0964630878960611,6.1339624000811224,-0.89612929344121084
3.0277847765245887,6.1245709144311737,-0.88478647111269149
2.9979075496581453,6.2179361276224494,-0.61412063226459579
2.3453342118503744,6.3489966016384694,0.061074947984290542
2.3465006177073886,6.7236535912625488,-0.0059639803792384677
2.3472291353876424,6.6926063544556147,-0.1549689563702944
2.6013238996765926,6.6304836062494656,-0.21519255621407674
2.6618210906013329,6.3830695804392859,-0.095208421603634116
2.3750878946720135,6.3303614955515215,0.060844978038836088
-2.5222891867236634,6.9908926755350969,-1.6217128902691669
-2.654407492304959,6.8955382874908491,-1.5999212270145273
-2.4684574552819738,7.0835114114159179,-1.8151967169837271
-2.5372860282461822,7.0328241917526144,-1.9795694923806488
-2.7043952220802372,6.8754593524733343,-1.9998639260131812
-2.776596788196569,6.7823828031374758,-1.7835307212788269
3.3326839730223621,6.0419960088680105,-1.390780479250848
3.1819812828338869,6.0346618669275198,-1.2458097961028014
3.0973554957140781,5.8502252875678575,-1.2301315182527097
3.0678117897786099,5.7189910683458214,-1.4370208757593508
3.281896971840649,5.9549615342105335,-1.604244772367537
3.1838998712866342,5.7696474370242958,-1.5866688705728598
2.340373172303496,6.3181769638847172,-4.3380622430333311
2.4834710414190653,6.232253834776043,-4.1886652533676516
2.5414772948659468,6.0982245134187369,-4.2070290454670838
2.2360800183665295,6.1993767195827791,-4.4462123567463889
2.3057322968302159,6.0224627890492499,-4.4819800673776742
2.4796771051406061,5.9588243423325,-4.3724403676913131
-0.93620870973771297,5.8319992597263095,0.80627941781376722
-0.77168306154162547,5.7062716505991142,0.88640647362005753
-0.80209355087711554,5.4916521314663092,0.89056036404406536
-0.97186291290406646,5.4206340623299942,0.88457056807346768
-1.1503660929966526,5.5505461990556162,0.7846494464512529
-1.1174771762297837,5.7535278424967222,0.79583634538527603
-2.263181168453948,7.0019307767554579,-3.3186535640405999
-2.3005147245411837,6.9396469123873388,-3.4744752191391064
-2.4068680628461072,6.9751081011429985,-3.1240271955422489
-2.5318579589174934,6.880610200850179,-3.108802477627628
-2.6557710736433555,6.8147321654384925,-3.3012056963367384
-2.5035694521560119,6.8132805795131963,-3.5251079042979745
-2.8032491736897223,5.2122482267894616,-1.8754516011238875
-2.9458652379363124,5.3253112133974039,-1.7585844866661791
-2.8207329971678239,5.2182814694113597,-2.0859947342254479
-3.0174585708391422,5.3945654783406471,-2.1613673131192463
-3.0577078974454177,5.5573653752853973,-1.9389186211975953
3.0228667172890353,6.1900585531313315,-3.4209963647121899
